tid,label,token
65293457,ORG,Delhi High Court
65293457,PERSON,Shail Sahni
65293457,PERSON,Sanjeev Kumar And Ors.
65293457,DATE,"5 February, 2014"
65293457,PERSON,Manmohan
65293457,PERSON,Hashmat Nabi
65293457,ORG,No.2/UOI
65293457,PERCENT,%
65293457,DATE,"05th February, 2014"
65293457,PERSON,MANMOHAN
65293457,CARDINAL,1\
65293457,LAW,Right to Information Act
65293457,DATE,2005
65293457,LAW,RTI Act‟
65293457,CARDINAL,"3,01,000"
65293457,CARDINAL,1
65293457,CARDINAL,2\
65293457,LAW,Section 19(6) of the RTI Act
65293457,CARDINAL,845/2014
65293457,CARDINAL,1
65293457,CARDINAL,11
65293457,CARDINAL,19
65293457,DATE,thirty days
65293457,DATE,forty-five days
65293457,CARDINAL,3\
65293457,LAW,the RTI Act
65293457,CARDINAL,1
65293457,DATE,weekly
65293457,LANGUAGE,English
65293457,LANGUAGE,Hindi
65293457,LANGUAGE,Punjabi
65293457,WORK_OF_ART,"""List of works"""
65293457,WORK_OF_ART,At page 10 and 11
65293457,CARDINAL,2\
65293457,WORK_OF_ART,"""List of Works"""
65293457,WORK_OF_ART,At page 10 and 11
65293457,CARDINAL,3\
65293457,WORK_OF_ART,"""List of Works"""
65293457,WORK_OF_ART,At page 10 and 11
65293457,CARDINAL,4\
65293457,WORK_OF_ART,"""List of
Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,WORK_OF_ART,"""List of
Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,5
65293457,WORK_OF_ART,"""List of works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,DATE,Then date and day
65293457,CARDINAL,845/2014
65293457,CARDINAL,2
65293457,CARDINAL,11
65293457,WORK_OF_ART,"""List of Works"
65293457,CARDINAL,6
65293457,ORG,Firm/Contractor/Company/Person
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,7\
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,8\
65293457,ORG,Govt.
65293457,ORG,Department
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,10\
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,11
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,11
65293457,CARDINAL,10
65293457,CARDINAL,12
65293457,WORK_OF_ART,"""List of
Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,13\
65293457,CARDINAL,3
65293457,CARDINAL,11
65293457,GPE,India
65293457,GPE,India
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11\
65293457,CARDINAL,14\
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11\
65293457,CARDINAL,15
65293457,DATE,last three years
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,16
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,17\
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,18\
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,19
65293457,WORK_OF_ART,"""List of
Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,4
65293457,CARDINAL,11
65293457,CARDINAL,20\
65293457,WORK_OF_ART,"""List of
Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,21\
65293457,WORK_OF_ART,"""List of Works"""
65293457,CARDINAL,10
65293457,CARDINAL,11
65293457,CARDINAL,22\
