tid,label,token
6896400,ORG,Delhi High Court
6896400,PERSON,Keshav Kumar Aggarwal
6896400,ORG,M/S Niit Ltd.
6896400,DATE,22 March
6896400,DATE,2013
6896400,PERSON,Kailash Gambhir
6896400,CARDINAL,2237/2012
6896400,CARDINAL,22/03/2013
6896400,PERSON,KESHAV
6896400,PERSON,H.P. Singh
6896400,PERSON,Navroop Singh
6896400,PERSON,Adv
6896400,PERSON,Pratibha M. Singh
6896400,CARDINAL,1
6896400,ORG,Intellectual Property Rights
6896400,CARDINAL,1324835
6896400,CARDINAL,41
6896400,CARDINAL,15-11-2005
6896400,ORG,Educational Services
6896400,ORG,Sporting & Cultural Activities
6896400,CARDINAL,2
6896400,PERSON,Plaintiff
6896400,PERSON,Shri Keshav
6896400,PERSON,Kumar Aggarwal
6896400,ORG,M/s TURNING POINT
6896400,ORG,CS
6896400,CARDINAL,2237/2012
6896400,CARDINAL,1
6896400,CARDINAL,30
6896400,GPE,Malviya Nagar
6896400,GPE,New Delhi
6896400,ORG,Educational Services
6896400,DATE,the year 1998
6896400,ORG,Plaintiff
6896400,CARDINAL,41
6896400,CARDINAL,15.11.2005
6896400,ORG,Plaintiff
6896400,DATE,the year 2015
6896400,ORDINAL,first
6896400,DATE,1998
6896400,GPE,Delhi
6896400,ORG,Plaintiff‟s
6896400,CARDINAL,IX
6896400,GPE,Delhi
6896400,ORG,Commerce
6896400,ORG,BBA
6896400,ORG,LAW
6896400,ORG,IIT
6896400,ORG,AIEEE
6896400,ORG,CFAS
6896400,ORG,HM
6896400,ORG,CPT
6896400,DATE,the last 14 years
6896400,CARDINAL,2237/2012
6896400,CARDINAL,2
6896400,CARDINAL,30
6896400,LAW,the Trademarks Act
6896400,DATE,1999
6896400,DATE,the month of June 2012
6896400,CARDINAL,3
6896400,CARDINAL,about thousands
6896400,DATE,the year 1998
6896400,LAW,Section 2
6896400,LAW,the Trademarks Act
6896400,DATE,1999
6896400,CARDINAL,2237/2012
6896400,CARDINAL,3
6896400,CARDINAL,30
6896400,DATE,1998
6896400,DATE,the year 1998
6896400,DATE,1999 to 2011-2012
6896400,DATE,1999-2000
6896400,CARDINAL,"29,00,000"
6896400,DATE,2000-2001
6896400,DATE,"2001-2002                      5, 92"
6896400,DATE,2002-2003                      7
6896400,CARDINAL,18
6896400,CARDINAL,685
6896400,CARDINAL,5
6896400,CARDINAL,"64,000"
6896400,DATE,2004
6896400,CARDINAL,"8,00,330"
6896400,DATE,2005-2006
6896400,CARDINAL,"13,60,000"
6896400,CARDINAL,"17,69"
6896400,CARDINAL,052
6896400,DATE,2009-2010
6896400,DATE,"2010-2011                      38, 96"
6896400,CARDINAL,349
6896400,DATE,"2011-2012                      61, 06"
6896400,CARDINAL,693
6896400,CARDINAL,4
6896400,CARDINAL,2237/2012
6896400,CARDINAL,4
6896400,CARDINAL,30
6896400,GPE,Delhi
6896400,PERSON,Don Bosco
6896400,ORG,Apeejay School Saket
6896400,ORG,Ryan International School
6896400,ORG,Modi School
6896400,GPE,Lakshmangarh
6896400,PERSON,Sirkar
6896400,GPE,Rajasthan
6896400,CARDINAL,5
6896400,CARDINAL,2237/2012
6896400,CARDINAL,5
6896400,CARDINAL,30
6896400,CARDINAL,6
6896400,DATE,June‟2012
6896400,ORG,B-234
6896400,ORG,Okhla Phase -1
6896400,GPE,New Delhi
6896400,ORG,110002
6896400,PERSON,Plaintiff
6896400,CARDINAL,7
6896400,DATE,over years
6896400,LAW,class 41 of the Trademark Act
6896400,DATE,1999
6896400,CARDINAL,2237/2012
6896400,CARDINAL,6
6896400,CARDINAL,30
6896400,CARDINAL,8
6896400,PERSON,Plaintiff
6896400,CARDINAL,9
6896400,ORG,Defendant
6896400,PERSON,Plaintiff
6896400,DATE,the year 2002
6896400,CARDINAL,2237/2012
6896400,CARDINAL,7
6896400,CARDINAL,30
6896400,ORG,MODY school
6896400,GPE,Rajasthan
6896400,GPE,Chennai
6896400,ORDINAL,third
6896400,CARDINAL,10
6896400,DATE,the month of June
6896400,DATE,dated 1st
6896400,DATE,June 2012
6896400,CARDINAL,15.06.2012
6896400,CARDINAL,11
6896400,ORDINAL,first
6896400,DATE,the year 1998
6896400,CARDINAL,2237/2012
6896400,CARDINAL,8
6896400,CARDINAL,30
6896400,CARDINAL,12
6896400,ORG,Indian Shaving Products Ltd.
6896400,ORG,Anr V. Gift Pack &Anr.
6896400,DATE,"1998 PTC (18)
       698"
6896400,ORG,Ansul Industries V. Shiva Tobacco Company
6896400,DATE,2007 (34
6896400,CARDINAL,392
6896400,GPE,Amritdhara
6896400,ORG,Satyadeo Gupta
6896400,ORG,PTC
6896400,ORG,Suppl
6896400,CARDINAL,2
6896400,CARDINAL,1
6896400,ORG,Greaves Cotton Limited V. Mohammad Rafi &ors
6896400,DATE,2011 (46
6896400,CARDINAL,466
6896400,ORG,Del.
6896400,ORG,United Biotech pvt Ltd V. Orchid Chemicals &
6896400,DATE,"2012
       (50"
6896400,CARDINAL,433
6896400,ORG,Del.
6896400,ORG,ACL Education Pvt Centre
6896400,ORG,American Centre
6896400,CARDINAL,36
6896400,GPE,India
6896400,GPE,Girnar
6896400,DATE,1999
6896400,CARDINAL,19
6896400,CARDINAL,81
6896400,ORG,Shangrila Foods
6896400,DATE,1960
6896400,CARDINAL,142
6896400,CARDINAL,13
6896400,ORG,CS
6896400,CARDINAL,2237/2012
6896400,CARDINAL,9
6896400,CARDINAL,30
6896400,CARDINAL,41
6896400,ORG,TMA
6896400,DATE,1999
6896400,ORG,Plaintiff‟s Institution
6896400,CARDINAL,13
6896400,ORG,IT Education
6896400,ORG,Training Company
6896400,GPE,India
6896400,GPE,Abroad
6896400,ORG,NIIT
6896400,ORG,NIIT
6896400,DATE,the year 1981
6896400,ORG,INSTITUTE OF INFORMATION TECHNOLOGY
6896400,ORG,NIIT
6896400,ORG,Company
6896400,ORG,PACE EDUCATION
6896400,ORG,CS
6896400,CARDINAL,10
6896400,MONEY,"30
     mark"
6896400,ORG,NIIT Limited
6896400,DATE,the year 1990
6896400,ORG,NIIT
6896400,ORG,NIIT Antilles
6896400,GPE,NV
6896400,ORG,NIIT USA Inc
6896400,ORG,NIIT
6896400,GPE,India
6896400,GPE,Netherlands
6896400,GPE,USA
6896400,GPE,Antilles
6896400,GPE,Bahrain
6896400,ORG,NIIT
6896400,ORG,NIIT Group
6896400,ORG,NIIT
6896400,ORG,the NIIT Group
6896400,ORG,Technology Education and Software Services
6896400,ORG,NIIT
6896400,ORG,Software Solutions
6896400,DATE,1984
6896400,ORG,The NIIT Group
6896400,DATE,1993
6896400,ORG,the Software Solutions
6896400,ORG,NIIT
6896400,DATE,2003-2004
6896400,ORG,NIIT
6896400,CARDINAL,14
6896400,CARDINAL,2237/2012
6896400,CARDINAL,11
6896400,CARDINAL,30
6896400,ORG,Defendant
6896400,CARDINAL,15
6896400,CARDINAL,16
6896400,ORG,NIIT
6896400,LANGUAGE,English
6896400,CARDINAL,only one
6896400,ORG,CS
6896400,CARDINAL,12
6896400,CARDINAL,"30
     17"
6896400,ORG,Plaintiff
6896400,ORG,Defendant
6896400,PERSON,Plaintiff
6896400,ORG,NIIT
6896400,LAW,Section 2
6896400,LAW,the Trade Marks Act
6896400,DATE,1999
6896400,CARDINAL,6
6896400,CARDINAL,18
6896400,DATE,May 2012
6896400,CARDINAL,19
6896400,CARDINAL,2237/2012
6896400,CARDINAL,13
6896400,CARDINAL,30
6896400,ORG,Modi School
6896400,CARDINAL,5
6896400,FAC,the Modi School
6896400,CARDINAL,20
6896400,CARDINAL,46
6896400,CARDINAL,28.03.2012
6896400,CARDINAL,34
6896400,ORG,the Modi School
6896400,FAC,the Modi School
6896400,CARDINAL,21
6896400,CARDINAL,2237/2012
6896400,CARDINAL,14
6896400,CARDINAL,30
6896400,CARDINAL,22
6896400,ORG,the Hon‟ble Supreme Court
6896400,ORG,Skyline Education
6896400,ORG,Institute v. SL Vaswani
6896400,DATE,2010 (42
6896400,CARDINAL,217
6896400,GPE,Marico
6896400,ORG,Agro Tech
6896400,ORG,Foods Ltd
6896400,DATE,2010
6896400,CARDINAL,3) 0226
6896400,CARDINAL,Three
6896400,ORG,Emami Limited
6896400,DATE,2008
6896400,DATE,3) 0319
6896400,CARDINAL,23
6896400,CARDINAL,24
6896400,LAW,Order 39 Rule 1 & 2
6896400,LAW,Code of Civil Procedure
6896400,DATE,1908
6896400,ORDINAL,first
6896400,CARDINAL,41
6896400,DATE,1999
6896400,PRODUCT,TURNING POINT‟
6896400,DATE,1998
6896400,CARDINAL,15.11.2005
6896400,CARDINAL,41
6896400,DATE,1999
6896400,CARDINAL,2237/2012
6896400,CARDINAL,15
6896400,CARDINAL,30
6896400,FAC,"NIIT THE TURNING POINT"""
6896400,DATE,1998
6896400,DATE,more than a decade
6896400,CARDINAL,25
6896400,ORG,the Supreme Court
6896400,EVENT,"the ""Super Cup"""
6896400,ORG,Godfrey Philips India Ltd.
6896400,ORG,Girnar Food and Beverages (P) Ltd.
6896400,DATE,2004
6896400,CARDINAL,5
6896400,CARDINAL,257
6896400,CARDINAL,26
6896400,ORG,Mahendra & Mahendra Paper Mills Ltd.
6896400,ORG,Mahindra & Mahindra
6896400,DATE,2001
6896400,ORG,the Hon‟ble Supreme Court
6896400,PERSON,Mahendra‟
6896400,ORG,Mahindra
6896400,ORG,CS
6896400,CARDINAL,2237/2012
6896400,CARDINAL,16
6896400,CARDINAL,30
6896400,CARDINAL,27
6896400,ORG,ACL      Education      Centre     Pvt.
6896400,ORG,American
6896400,ORG,Centre for Languages
6896400,DATE,2008
6896400,CARDINAL,36
6896400,CARDINAL,113
6896400,LANGUAGE,English
6896400,WORK_OF_ART,American Centre for Languages
6896400,PERSON,Hon‟ble
6896400,CARDINAL,12
6896400,ORG,Plaintiffs
6896400,ORG,"the „American
                 Centre for Languages"
6896400,ORG,Plaintiffs
6896400,ORG,Plaintiffs
6896400,DATE,several lakhs per years
6896400,CARDINAL,thousands
6896400,LANGUAGE,English
6896400,ORG,Plaintiff
6896400,ORG,American Centre for Languages
6896400,ORG,Plaintiff
6896400,CARDINAL,28
6896400,ORG,Standard Electricals
6896400,DATE,2004 (72
6896400,CARDINAL,794
6896400,CARDINAL,22
6896400,CARDINAL,22
6896400,LANGUAGE,English
6896400,CARDINAL,2237/2012
6896400,CARDINAL,17
6896400,CARDINAL,30
6896400,ORG,Court
6896400,CARDINAL,29
6896400,LAW,Section 2
6896400,CARDINAL,1
6896400,LAW,the Trademarks Act
6896400,DATE,1999
6896400,CARDINAL,30
6896400,ORG,Shangrila Food Products Ltd.
6896400,DATE,1960
6896400,DATE,1 SCR 968
6896400,CARDINAL,31
6896400,LAW,Section 17 of the
6896400,DATE,1999
6896400,CARDINAL,17
6896400,DATE,1999
6896400,CARDINAL,17
6896400,DATE,1999
6896400,CARDINAL,17
6896400,CARDINAL,2237/2012
6896400,CARDINAL,18
6896400,CARDINAL,30
6896400,CARDINAL,1
6896400,CARDINAL,32
6896400,LAW,section 17 (1) of the Act
6896400,ORG,Unitech Biotech Pvt Ltd.
6896400,LAW,Section 17 of the Act.
6896400,ORG,Hon‟ble Supreme Court
6896400,ORG,Ramdev Food CS
6896400,CARDINAL,19
6896400,DATE,"30 v. Arvindbhai Rambhai , 2006"
6896400,CARDINAL,33
6896400,CARDINAL,281
6896400,ORG,SC
6896400,FAC,the Division Bench
6896400,CARDINAL,24
6896400,CARDINAL,25
6896400,CARDINAL,24
6896400,CARDINAL,two
6896400,CARDINAL,two
6896400,ORG,IPAB
6896400,ORG,Supreme Court
6896400,ORG,Ramdev Food Products Ltd.
6896400,ORG,Ashok Chandra Rakhit Ltd.
6896400,PERSON,Nariman
6896400,ORG,Court
6896400,ORG,Shree Durga
6896400,PERSON,Charan Rakshit
6896400,ORG,Court
6896400,PERSON,Esher
6896400,LAW,"Pinto v. Badman [8 RPC
> 181"
6896400,ORG,Court
6896400,ORG,Registrar
6896400,ORG,Company
6896400,CARDINAL,20
6896400,CARDINAL,30
6896400,PERSON,Nariman
6896400,PERSON,Ramdev
6896400,LAW,Section 2(j
6896400,LAW,the 1958 Act
6896400,ORG,the Supreme Court
6896400,ORG,Ramdev Food Products Ltd.
6896400,CARDINAL,33
6896400,LAW,"TP-TURNING POINT"""
6896400,CARDINAL,34
6896400,ORG,the Defendant Company
6896400,LAW,"NIIT-THE TURNING POINT"""
6896400,CARDINAL,2237/2012
6896400,CARDINAL,21
6896400,CARDINAL,30
6896400,CARDINAL,35
6896400,LAW,The Trademark Act
6896400,DATE,1999
6896400,CARDINAL,28
6896400,LAW,registration (1)
6896400,LAW,"the other provisions of
this Act"
6896400,LAW,Act
6896400,CARDINAL,29
6896400,CARDINAL,2
6896400,CARDINAL,2237/2012
6896400,CARDINAL,22
6896400,CARDINAL,30
6896400,CARDINAL,36
6896400,LAW,Section 29 of the Act
6896400,LAW,the Trade mark Act
6896400,LAW,Section 29
6896400,CARDINAL,37
6896400,CARDINAL,2237/2012
6896400,CARDINAL,23
6896400,CARDINAL,30
6896400,CARDINAL,38
6896400,CARDINAL,one
6896400,LAW,Pionotist
6896400,DATE,1906
6896400,LAW,"23) RPC
774"
6896400,CARDINAL,two
6896400,CARDINAL,one
6896400,CARDINAL,39
6896400,ORG,Kaviraj Pandit Durga Dutt Sharma
6896400,ORG,"Navaratna Pharmaceutical
Laboratories"
6896400,DATE,1965
6896400,CARDINAL,1
6896400,CARDINAL,737
6896400,ORG,the Hon‟ble Apex Court
6896400,CARDINAL,2237/2012
6896400,CARDINAL,24
6896400,CARDINAL,30
6896400,CARDINAL,two
6896400,CARDINAL,two
6896400,CARDINAL,40
6896400,ORG,This Hon‟ble Court
6896400,ORG,Ansul Industries
6896400,ORG,the Apex Court
6896400,CARDINAL,11
6896400,ORG,Court
6896400,ORG,Court
6896400,CARDINAL,two
6896400,CARDINAL,12
6896400,CARDINAL,two
6896400,CARDINAL,two
6896400,CARDINAL,two
6896400,MONEY,"two
> marks"
6896400,CARDINAL,2237/2012
6896400,CARDINAL,25
6896400,CARDINAL,30
6896400,CARDINAL,41
6896400,ORG,Court
6896400,ORG,Greaves Cotton Limited V. Mohammad Rafi & Ors
6896400,DATE,2011 (46
6896400,CARDINAL,466
6896400,GPE,Del.
6896400,ORG,Defendant
6896400,ORG,GREAVES
6896400,ORG,No.1
6896400,ORG,"GREAVES INDIA"""
6896400,CARDINAL,42
6896400,ORG,Plaintiff
6896400,ORG,TP
6896400,ORG,Defendant
6896400,ORG,NIIT
6896400,ORG,Defendant
6896400,DATE,1993
6896400,PRODUCT,Plaintiff‟s
6896400,CARDINAL,2237/2012
6896400,CARDINAL,26
6896400,CARDINAL,30
6896400,ORG,the Phrase TURNING POINT
6896400,ORG,Plaintiff‟s
6896400,CARDINAL,two
6896400,CARDINAL,four
6896400,CARDINAL,43
6896400,DATE,May 2012
6896400,ORG,Mody School
6896400,PRODUCT,NIIT
6896400,DATE,over a decade
6896400,CARDINAL,2237/2012
6896400,CARDINAL,27
6896400,MONEY,30 mark
6896400,ORG,NIIT
6896400,CARDINAL,44
6896400,CARDINAL,430
6896400,ORG,"Romer L.J. in Clock Limited v. Clock House Hotel
Limited"
6896400,DATE,1936) 53
6896400,CARDINAL,269
6896400,CARDINAL,45
6896400,CARDINAL,one
6896400,ORG,Defendant
6896400,GPE,Chennai
6896400,CARDINAL,2237/2012
6896400,CARDINAL,28
6896400,CARDINAL,30
6896400,CARDINAL,46
6896400,ORG,Reliance
6896400,ORG,"Marico Limited Vs. Agro
Tech Foods Ltd"
6896400,ORG,Three-N-Product
6896400,ORG,Emami
6896400,CARDINAL,47
6896400,CARDINAL,1
6896400,CARDINAL,three
6896400,ORG,Defendant
6896400,CARDINAL,48
6896400,ORG,NIIT
6896400,ORG,Defendant
6896400,ORG,Defendant
6896400,ORG,the Plaintiff Institution
6896400,LAW,"Order 39 Rule 1, 2"
6896400,CARDINAL,29
6896400,CARDINAL,30
6896400,LAW,"TURNING POINT"""
6896400,CARDINAL,49
6896400,DATE,"J MARCH 22, 2013"
6896400,CARDINAL,2237/2012
